period_days,age_cohort,vax_dose,metric,vax_increase,novax_increase,diff,p_value,vax_before,vax_after,novax_before,novax_after,vax_vs_novax_ratio
60,between_30_and_50,2,prvopredpisy,97.23502304147466,96.5,0.7350230414746619,0.951499864522197,434.0,422.0,200.0,193.0,1.007616819082639
60,between_30_and_50,2,kortikoidy,107.94887173750726,86.05669128649708,21.892180451010177,0.0,316576.375,341740.625,211262.625,181805.625,1.254392541982906
60,between_30_and_50,2,imunosupresivy,89.67391304347827,93.14079422382672,-3.4668811803484516,0.7495952689638248,552.0,495.0,277.0,258.0,0.962778058645096
60,between_30_and_50,3,predpisy,110.46901172529313,97.0856102003643,13.383401524928829,0.027865276174625114,1194.0,1319.0,1098.0,1066.0,1.137851546663901
60,between_30_and_50,3,prvopredpisy,105.83333333333333,76.92307692307693,28.910256410256395,0.016350120556994675,240.0,254.0,260.0,200.0,1.3758333333333332
60,between_30_and_50,3,kortikoidy,118.08016691532653,74.41288527639004,43.66728163893649,0.0,162956.875,192419.75,265621.0,197656.25,1.5868241968678425
60,between_30_and_50,3,imunosupresivy,111.47540983606557,100.0,11.475409836065566,0.35691132090864536,305.0,340.0,283.0,283.0,1.1147540983606556
90,between_30_and_50,1,predpisy,94.92468893254747,91.21212121212122,3.71256772042625,0.36643309366805377,3054.0,2899.0,1650.0,1505.0,1.040702569692381
90,between_30_and_50,1,prvopredpisy,91.22085048010973,82.07282913165265,9.148021348457078,0.27398997072999187,729.0,665.0,357.0,293.0,1.1114622396381972
90,between_30_and_50,1,kortikoidy,101.89386301505917,87.37561285323883,14.518250161820333,0.0,458117.875,466794.0,344928.625,301383.5,1.166159065301276
90,between_30_and_50,1,imunosupresivy,90.9090909090909,96.10705596107056,-5.197965051979651,0.5755660212763065,561.0,510.0,411.0,395.0,0.9459148446490218
90,between_30_and_50,2,predpisy,97.40298507462687,95.91836734693877,1.4846177276881036,0.7295463406377913,3350.0,3263.0,1617.0,1551.0,1.0154779295014291
90,between_30_and_50,2,prvopredpisy,95.85798816568047,87.24035608308606,8.617632082594412,0.333468547065208,676.0,648.0,337.0,294.0,1.0987803405385823
90,between_30_and_50,2,kortikoidy,112.82295185467572,88.8569548556708,23.965996999004915,0.0,476754.5,537888.5,328454.875,291855.0,1.2697143632474528
90,between_30_and_50,2,imunosupresivy,100.12642225031605,99.75124378109453,0.37517846922152387,1.0,791.0,792.0,402.0,401.0,1.003761140763767
